#    angle	    s11	            s12            s33           s34
  0.5000000       479.3410     -4.8202515E-02   479.3410      9.8262787E-02
   1.500000       475.0269     -0.4311676       475.0258      0.8775406    
   2.500000       466.5048      -1.184219       466.4971       2.400461    
   3.500000       453.9838      -2.282013       453.9548       4.597399    
   4.500000       437.7681      -3.687836       437.6906       7.368113    
   5.500000       418.2471      -5.355652       418.0788       10.58640    
   6.500000       395.8810      -7.231827       395.5635       14.10620    
   7.500000       371.1861      -9.257446       370.6450       17.76828    
   8.500000       344.7169      -11.37100       343.8636       21.40776    
   9.500000       317.0482      -13.51080       315.7831       24.86188    
   10.50000       288.7566      -15.61740       286.9734       27.97731    
   11.50000       260.4025      -17.63582       257.9942       30.61728    
   12.50000       232.5135      -19.51733       229.3783       32.66759    
   13.50000       205.5695      -21.22105       201.6177       34.04161    
   14.50000       179.9905      -22.71476       175.1504       34.68381    
   15.50000       156.1263      -23.97530       150.3509       34.57185    
   16.50000       134.2502      -24.98877       127.5219       33.71698    
   17.50000       114.5552      -25.74954       106.8896       32.16282    
   18.50000       97.15376      -26.25986       88.60201       29.98262    
   19.50000       82.08069      -26.52823       72.72935       27.27515    
   20.50000       69.29817      -26.56809       59.26799       24.15943    
   21.50000       58.70380      -26.39619       48.14606       20.76859    
   22.50000       50.14040      -26.03111       39.23156       17.24315    
   23.50000       43.40707      -25.49168       32.34185       13.72416    
   24.50000       38.27135      -24.79592       27.25457       10.34636    
   25.50000       34.48144      -23.95995       23.71897       7.231938    
   26.50000       31.77833      -22.99747       21.46772       4.485055    
   27.50000       29.90705      -21.91951       20.22827       2.187295    
   28.50000       28.62677      -20.73457       19.73357      0.3944983    
   29.50000       27.71927      -19.44913       19.73173     -0.8650897    
   30.50000       26.99565      -18.06834       19.99420      -1.591219    
   31.50000       26.30099      -16.59711       20.32240      -1.810595    
   32.50000       25.51696      -15.04108       20.55243      -1.574502    
   33.50000       24.56246      -13.40781       20.55803     -0.9552131    
   34.50000       23.39235      -11.70775       20.25164     -4.1441679E-02
   35.50000       21.99456      -9.955116       19.58362       1.066909    
   36.50000       20.38585      -8.168410       18.54002       2.264493    
   37.50000       18.60649      -6.370674       17.13882       3.446306    
   38.50000       16.71433      -4.589356       15.42519       4.513352    
   39.50000       14.77852      -2.855699       13.46585       5.377791    
   40.50000       12.87331      -1.203868       11.34298       5.967381    
   41.50000       11.07220      0.3303752       9.147942       6.228942    
   42.50000       9.442812       1.711220       6.975146       6.130722    
   43.50000       8.042509       2.904566       4.916267       5.663546    
   44.50000       6.915219       3.879879       3.055161       4.840743    
   45.50000       6.089264       4.612007       1.463560       3.696826    
   46.50000       5.576401       5.082857      0.1977754       2.285104    
   47.50000       5.371947       5.282814     -0.7035693      0.6743018    
   48.50000       5.455941       5.211812      -1.220715      -1.055536    
   49.50000       5.795122       4.879939      -1.352880      -2.817685    
   50.50000       6.345617       4.307569      -1.117383      -4.523624    
   51.50000       7.056048       3.524930     -0.5479110      -6.087895    
   52.50000       7.870892       2.571178      0.3079599      -7.432707    
   53.50000       8.733851       1.492928       1.391780      -8.492013    
   54.50000       9.591034      0.3423891       2.637601      -9.214866    
   55.50000       10.39374     -0.8248844       3.975537      -9.567894    
   56.50000       11.10079      -1.952452       5.335298      -9.536778    
   57.50000       11.68017      -2.985595       6.649523      -9.126684    
   58.50000       12.11002      -3.873843       7.856788      -8.361620    
   59.50000       12.37899      -4.573399       8.904131      -7.282850    
   60.50000       12.48589      -5.049223       9.749018      -5.946388    
   61.50000       12.43874      -5.276749       10.36068      -4.419798    
   62.50000       12.25335      -5.243053       10.72079      -2.778448    
   63.50000       11.95157      -4.947500       10.82355      -1.101453    
   64.50000       11.55926      -4.401732       10.67510      0.5324616    
   65.50000       11.10420      -3.629096       10.29245       2.048971    
   66.50000       10.61409      -2.663446       9.701974       3.381812    
   67.50000       10.11470      -1.547431       8.937495       4.475911    
   68.50000       9.628319     -0.3303685       8.038237       5.289815    
   69.50000       9.172615      0.9342170       7.046615       5.797353    
   70.50000       8.759863       2.191258       6.006047       5.988404    
   71.50000       8.396688       3.386835       4.958887       5.868829    
   72.50000       8.084200       4.470806       3.944571       5.459537    
   73.50000       7.818550       5.399190       2.998046       4.794808    
   74.50000       7.591805       6.136211       2.148539       3.919973    
   75.50000       7.393087       6.655900       1.418706       2.888599    
   76.50000       7.209855       6.943152      0.8241726       1.759369    
   77.50000       7.029246       6.994242      0.3734478      0.5928131    
   78.50000       6.839347       6.816701      6.8196788E-02 -0.5519044    
   79.50000       6.630334       6.428668     -9.6184015E-02  -1.619970    
   80.50000       6.395392       5.857687     -0.1297348      -2.563533    
   81.50000       6.131323       5.139049     -4.6922088E-02  -3.343814    
   82.50000       5.838862       4.313798      0.1344928      -3.932605    
   83.50000       5.522628       3.426471      0.3946260      -4.313118    
   84.50000       5.190762       2.522745      0.7126233      -4.480170    
   85.50000       4.854276       1.647089       1.067726      -4.439713    
   86.50000       4.526158      0.8405427       1.440212      -4.207777    
   87.50000       4.220320      0.1387732       1.812161      -3.808925    
   88.50000       3.950449     -0.4295393       2.168027      -3.274324    
   89.50000       3.728881     -0.8438786       2.495015      -2.639570    
   90.50000       3.565550      -1.092594       2.783241      -1.942410    
   91.50000       3.467106      -1.173106       3.025727      -1.220502    
   92.50000       3.436267      -1.091614       3.218212     -0.5093346    
   93.50000       3.471457     -0.8623437       3.358856      0.1595596    
   94.50000       3.566757     -0.5064110       3.447849      0.7600269    
   95.50000       3.712152     -5.0320864E-02   3.486955       1.272275    
   96.50000       3.894108      0.4757142       3.479077       1.683388    
   97.50000       4.096391       1.039617       3.427824       1.987369    
